#SampleID	FastqID	group
#q2:types	categorical	categorical
SRR4460403	SRR4460403	Active
SRR4460404	SRR4460404	Sedentary
SRR4460405	SRR4460405	Active
SRR4460406	SRR4460406	Active
SRR4460407	SRR4460407	Active
SRR4460408	SRR4460408	Active
SRR4460409	SRR4460409	Active
SRR4460410	SRR4460410	Active
SRR4460411	SRR4460411	Active
SRR4460412	SRR4460412	Active
SRR4460413	SRR4460413	Sedentary
SRR4460414	SRR4460414	Sedentary
SRR4460415	SRR4460415	Sedentary
SRR4460416	SRR4460416	Sedentary
SRR4460418	SRR4460418	Sedentary
SRR4460417	SRR4460417	Sedentary
SRR4460420	SRR4460420	Sedentary
SRR4460419	SRR4460419	Sedentary
SRR4460422	SRR4460422	Sedentary
SRR4460421	SRR4460421	Sedentary
SRR4460423	SRR4460423	Sedentary
SRR4460424	SRR4460424	Sedentary
SRR4460425	SRR4460425	Sedentary
SRR4460426	SRR4460426	Sedentary
SRR4460427	SRR4460427	Sedentary
SRR4460428	SRR4460428	Sedentary
SRR4460429	SRR4460429	Sedentary
SRR4460430	SRR4460430	Sedentary
SRR4460431	SRR4460431	Sedentary
SRR4460432	SRR4460432	Sedentary
SRR4460433	SRR4460433	Active
SRR4460434	SRR4460434	Active
SRR4460435	SRR4460435	Active
SRR4460436	SRR4460436	Active
SRR4460437	SRR4460437	Active
SRR4460438	SRR4460438	Active
SRR4460439	SRR4460439	Active
SRR4460440	SRR4460440	Active
SRR4460441	SRR4460441	Active
SRR4460442	SRR4460442	Active
